Date,Mkt-RF,SMB,HML,RF
20240101,0.02,0,0,0.02
20240102,-1.14,-0.49,0.98,0.02
20240103,-1.11,-0.3,0.27,0.02
20240104,0.85,-0.03,0.5,0.02
20240105,-0.37,-0.18,0.51,0.02
20240108,0.55,0.25,-0.48,0.02
20240109,-0.51,0.18,-0.47,0.02
20240110,0.24,-0.04,-0.23,0.02
20240111,-0.61,-0.13,-0.31,0.02
20240112,0.44,0.24,-0.2,0.02
20240115,-0.6,-0.16,0.24,0.02
20240116,-1.06,0.05,-0.42,0.02
20240117,-1.01,0.11,-0.06,0.02
20240118,0.47,-0.13,-0.14,0.02
20240119,-0.09,-0.25,0.09,0.02
20240122,0.52,0.16,-0.04,0.02
20240123,-0.37,0.33,0.19,0.02
20240124,1.28,-0.33,-0.09,0.02
20240125,-0.11,0.22,-0.38,0.02
20240126,1.28,-0.76,-0.84,0.02
20240129,0.01,-0.19,-0.27,0.02
20240130,0.24,-0.31,0.12,0.02
20240131,-0.44,0.27,0.02,0.02
20240201,0.32,-0.21,-0.63,0.02
20240202,-0.86,-0.34,0.28,0.02
20240205,-0.56,-0.35,-0.73,0.02
20240206,0.78,-0.08,0.12,0.02
20240207,-0.24,-0.01,-0.61,0.02
20240208,0.12,0.39,-0.43,0.02
20240209,-0.02,-0.14,-0.18,0.02
20240212,0.44,0.32,0.37,0.02
20240213,-1.63,-0.22,0.29,0.02
20240214,0.68,-0.07,-0.2,0.02
20240215,1.08,-0.36,0.12,0.02
20240216,0.5,-0.08,-0.25,0.02
20240219,0.14,-0.29,0.06,0.02
20240220,0.04,-0.53,0.28,0.02
20240221,0.08,-0.14,0.37,0.02
20240222,0.89,-0.31,-0.35,0.02
20240223,0.23,-0.51,0.06,0.02
20240226,-0.05,0.33,-0.32,0.02
20240227,0.13,0,0.47,0.02
20240228,-0.42,-0.22,0.39,0.02
20240229,-0.4,0.04,0.14,0.02
20240301,0.89,0.2,0.17,0.02
20240304,-0.05,-0.45,-0.18,0.02
20240305,-0.31,-0.03,0.39,0.02
20240306,0.79,0.03,-0.12,0.02
20240307,1.45,-0.37,-0.32,0.02
20240308,-0.11,0.2,0.39,0.02
20240311,-0.35,-0.27,0.25,0.02
20240312,0.9,-0.58,0.23,0.02
20240313,0.33,-0.19,0.08,0.02
20240314,-0.74,0.08,-0.46,0.02
20240315,-0.15,-0.08,1,0.02
20240318,-0.37,-0.02,0.23,0.02
20240319,0.19,-0.26,0.36,0.02
20240320,0.54,0.04,0.33,0.02
20240321,0.13,-0.08,-0.03,0.02
20240322,-0.42,-0.06,0.41,0.02
20240325,0.23,0.03,0.35,0.02
20240326,0.18,0.12,0.43,0.02
20240327,0.31,0.15,-0.04,0.02
20240328,-0.22,0.19,-0.05,0.02
20240329,0.04,0.02,0.01,0.02
20240401,-0.56,-0.1,-0.03,0.02
20240402,-0.46,-0.04,0.98,0.02
20240403,0.96,0.06,0.58,0.02
20240404,0.09,0.13,0.26,0.02
20240405,-0.8,0.36,0.22,0.02
20240408,0.65,0.09,0.2,0.02
20240409,-0.54,0.21,0.09,0.02
20240410,-1.06,-0.18,0.02,0.02
20240411,-0.34,0.53,-0.69,0.02
20240412,-0.93,-0.33,0.53,0.02
20240415,-0.05,-0.49,-0.24,0.02
20240416,-1.44,0.11,-0.42,0.02
20240417,0.56,-0.22,0.59,0.02
20240418,-0.06,-0.22,0.88,0.02
20240419,0.01,-0.27,-0.03,0.02
20240422,0.82,-0.37,0.58,0.02
20240423,1.52,-0.21,-0.29,0.02
20240424,-0.42,0.32,-0.36,0.02
20240425,-0.45,-0.22,0.45,0.02
20240426,0.79,0.22,-0.42,0.02
20240429,0.41,1,0.38,0.02
20240430,-1.18,0.26,-0.27,0.02
20240501,0.39,0.13,-0.02,0.02
20240502,-0.01,0.21,0.57,0.02
20240503,0.85,0.13,-0.73,0.02
20240506,0.54,-0.09,0.21,0.02
20240507,0.84,-0.47,0.13,0.02
20240508,0.27,-0.07,-0.22,0.02
20240509,0.65,-0.13,0.09,0.02
20240510,0.58,-0.06,-0.14,0.02
20240513,0.25,-0.01,0.46,0.02
20240514,0.58,0.19,-0.06,0.02
20240515,1.08,0.22,-0.28,0.02
20240516,-0.33,0.35,0.14,0.02
20240517,-0.05,0.01,0.22,0.02
20240520,0.14,0.44,-0.36,0.02
20240521,-0.22,-0.06,0.01,0.02
20240522,-0.65,0.31,-0.33,0.02
20240523,-0.05,0.09,-0.46,0.02
20240524,0.19,0.36,0.58,0.02
20240527,0.49,0.08,0.09,0.02
20240528,-0.55,0.33,0.45,0.02
20240529,-1.58,0.05,0.03,0.02
20240530,0.92,0.2,0.32,0.02
20240531,0.54,0.13,-0.26,0.02
20240603,0.65,0.06,0.21,0.02
20240604,-0.7,-0.18,-0.72,0.02
20240605,0.75,-0.44,-0.95,0.02
20240606,0.67,-0.48,-0.25,0.02
20240607,-1.07,-0.15,-0.34,0.02
20240610,-0.7,0.48,0.03,0.02
20240611,-1.1,0.11,-0.64,0.02
20240612,1.57,-0.14,-0.26,0.02
20240613,-1.81,-0.06,-0.51,0.02
20240614,-1.52,0.07,-0.46,0.02
20240617,0.45,-0.24,0.51,0.02
20240618,0.59,-0.03,0.19,0.02
20240619,-0.23,-0.09,0.29,0.02
20240620,0.51,-0.27,0.03,0.02
20240621,-0.76,0.41,-0.43,0.02
20240624,1.06,-0.29,0.26,0.02
20240625,-0.48,-0.46,-0.23,0.02
20240626,-0.85,0.02,0.13,0.02
20240627,-0.25,0.58,0.3,0.02
20240628,-0.2,-0.06,0.43,0.02
20240701,0.52,-0.14,0.97,0.02
20240702,-0.31,0.31,-0.15,0.02
20240703,1.19,0.14,0.18,0.02
20240704,0.65,-0.32,0.27,0.02
20240705,0.22,0.61,-0.59,0.02
20240708,-0.35,0.18,-0.21,0.02
20240709,-0.92,0.3,0.06,0.02
20240710,1.02,-0.39,0.01,0.02
20240711,0.81,0.41,-0.07,0.02
20240712,1.23,-0.35,-0.53,0.02
20240715,-1.09,0.42,0.42,0.02
20240716,-0.2,0.46,-0.03,0.02
20240717,-0.15,0.28,0.94,0.02
20240718,-0.55,0.3,0.7,0.02
20240719,-0.83,-0.16,-0.19,0.02
20240722,0.94,-0.39,-0.16,0.02
20240723,-0.27,-0.24,-0.43,0.02
20240724,-0.88,0.25,0.63,0.02
20240725,-0.81,0.12,0.48,0.02
20240726,1.01,-0.02,-0.58,0.02
20240729,-0.62,0.07,0.43,0.02
20240730,0.28,0.06,-0.03,0.02
20240731,0.84,-0.06,-0.79,0.02
20240801,-1.79,0.63,-0.6,0.02
20240802,-1.29,0.07,0.37,0.02
20240805,-1.92,-0.63,-0.61,0.02
20240806,0.12,0.53,-0.41,0.02
20240807,1.26,-0.17,0.7,0.02
20240808,0.21,-0.35,-0.17,0.02
20240809,0.47,-0.02,-0.11,0.02
20240812,0.07,0.02,0.38,0.02
20240813,1.07,-0.26,-0.25,0.02
20240814,0.66,-0.27,0.03,0.02
20240815,0.78,-0.38,-0.36,0.02
20240816,0.76,-0.19,0.39,0.02
